SMILES	HET	IUPAC_NAME	ORGANIC	NORM_ATOMS	HVY_ATMS	aLogP	MR	MW	HBA	HBD	TPSA	LABUTEASA	ROTBONDS	NUMRINGS	SAT_RINGS	ALIPH_RINGS	ARO_RINGS	MACROCYCLES	Fsp3	SA	QED	IF_SCORE	in_out	Set
Cc1nc2ccc(OCc3nc(-c4ccccc4)cn3C)nn2c1C	ID9	(4r)-2,3-dimethyl-6-[(1-methyl-4-phenyl-1h-imidazol-2-yl)methoxy]imidazo[1,2-b]pyridazine	True	True	25.0	3.3256400000000017	95.43700000000003	333.16	6.0	0.0	57.24	145.28359503278458	4.0	4.0	0.0	0.0	4.0	0.0	0.21052631578947367	2.5609858515612576	0.5747209425853905	0.0468798615172456	1	Drug-Like
CC[C@H](O[C@H](C)CO)c1ccc(-c2ccccc2F)cc1NCCO	W4K	(2~{r})-2-[(1~{s})-1-[4-(2-fluorophenyl)-2-(2-hydroxyethylamino)phenyl]propoxy]propan-1-ol	True	True	25.0	3.745400000000003	98.07630000000005	347.19	4.0	3.0	61.72	147.82544456116707	9.0	2.0	0.0	0.0	2.0	0.0	0.4	3.312091654799471	0.6465215140930067	0.04688053270401055	1	Drug-Like
CC[C@@H](O[C@H](C)CO)c1ccc(-c2ccccc2F)cc1NCCO	W5K	(2~{r})-2-[(1~{r})-1-[4-(2-fluorophenyl)-2-(2-hydroxyethylamino)phenyl]propoxy]propan-1-ol	True	True	25.0	3.745400000000003	98.07630000000005	347.19	4.0	3.0	61.72	147.82544456116707	9.0	2.0	0.0	0.0	2.0	0.0	0.4	3.312091654799471	0.6465215140930067	0.04688053270401055	1	Drug-Like
c1ccc2sc(N3CCN(Cc4c[nH]c5ccccc45)CC3)nc2c1	JMK	2-[4-(1~{h}-indol-3-ylmethyl)piperazin-1-yl]-1,3-benzothiazole	True	True	25.0	4.099800000000003	105.40870000000004	348.14	4.0	1.0	63.400000000000006	150.25954482026427	3.0	5.0	1.0	1.0	4.0	0.0	0.25	2.0505367746381804	0.605318076493084	0.046889468750456686	1	Drug-Like
Cn1ncc2c(N)nc(-c3cccnc3)nc21	DXK	1-methyl-6-pyridin-3-yl-pyrazolo[3,4-d]pyrimidin-4-amine	True	True	17.0	1.0074999999999998	63.947400000000016	226.1	6.0	1.0	82.51	97.14117206850592	1.0	3.0	0.0	0.0	3.0	0.0	0.09090909090909091	2.3234012757181066	0.669101394420612	0.04686559325774092	1	Drug-Like
CCC(=O)N(c1ccc(O[C@@H]2CC[C@@H](N)C2)cc1)[C@@H](C)c1ccc(Cl)cc1	A1ILY	~{n}-[4-[(1~{r},3~{r})-3-azanylcyclopentyl]oxyphenyl]-~{n}-[(1~{s})-1-(4-chlorophenyl)ethyl]propanamide	True	True	27.0	5.102800000000005	110.32840000000004	386.18	3.0	1.0	55.56	165.8101452396462	6.0	3.0	1.0	1.0	2.0	0.0	0.4090909090909091	3.309704168454066	0.7506002124577883	0.04689125524991544	1	Drug-Like
O=C(O)[C@H]1CCCN(c2ccc([N+](=O)[O-])c3nonc23)C1	8QU	(3s)-1-(4-nitro-2,1,3-benzoxadiazol-7-yl)piperidine-3-carboxylic acid	True	True	21.0	1.4319999999999997	71.03120000000001	292.08	7.0	1.0	122.60000000000002	117.80179226653405	3.0	3.0	1.0	1.0	2.0	0.0	0.4166666666666667	2.9514389990438357	0.665333902532814	0.04697682980055573	1	Drug-Like
c1ccn(-c2oc(C3CC3)nc2-c2nn[nH]n2)c1	GOH	5-[2-cyclopropyl-5-(1h-pyrrol-1-yl)-1,3-oxazol-4-yl]-1h-1,2,3,4-tetrazole	True	True	18.0	1.5227999999999995	60.97670000000001	242.09	6.0	1.0	85.42	101.84116094298659	3.0	4.0	1.0	1.0	3.0	0.0	0.2727272727272727	3.0264357452952524	0.7521667955373551	0.046918041609187056	1	Drug-Like
CC(C)n1ncc2cc(C(=O)NCc3coc(-c4cccs4)n3)cnc21	5C2	1-(propan-2-yl)-n-{[2-(thiophen-2-yl)-1,3-oxazol-4-yl]methyl}-1h-pyrazolo[3,4-b]pyridine-5-carboxamide	True	True	26.0	3.6587000000000023	98.89920000000002	367.11	7.0	1.0	114.08	153.24457287233733	5.0	4.0	0.0	0.0	4.0	0.0	0.2222222222222222	2.6177765663867376	0.5816914628168308	0.04692276212140889	1	Drug-Like
c1c[nH]c(-c2ccc3c(c2)OCCO3)c1	YEY	2-(2,3-dihydro-1,4-benzodioxin-6-yl)-1h-pyrrole	True	True	15.0	2.4529000000000005	57.21870000000003	201.08	2.0	1.0	34.25	87.64880128085304	1.0	3.0	0.0	1.0	2.0	0.0	0.16666666666666666	2.241250041880841	0.768547597764401	0.046923632182371666	1	Drug-Like
Fc1cccc(CNc2nc3ccc(-c4ccncc4)cc3s2)c1	9D4	n-[(3-fluorophenyl)methyl]-6-(pyridin-4-yl)-1,3-benzothiazol-2-amine	True	True	24.0	5.109500000000002	96.5777	335.09	4.0	1.0	66.05	142.38725499659563	4.0	4.0	0.0	0.0	4.0	0.0	0.05263157894736842	2.0730627064818936	0.5630301264447932	0.04692637465589333	1	Drug-Like
COc1cc2ncnc(N3CCN(CCCCO)CC3)c2cc1OC	QEU	4-[4-(6,7-dimethoxyquinazolin-4-yl)piperazin-1-yl]butan-1-ol	True	True	25.0	1.5414999999999999	97.61480000000006	346.2	7.0	1.0	70.95	147.73694515517857	7.0	3.0	1.0	1.0	2.0	0.0	0.5555555555555556	2.170095466945874	0.7626453299476814	0.04694494401075244	1	Drug-Like
O=C(CC1CCCCC1)Nc1cccnc1	GWS	2-cyclohexyl-~{n}-pyridin-3-yl-ethanamide	True	True	16.0	2.9905000000000017	64.05870000000003	218.14	2.0	1.0	41.99	96.27614114573893	3.0	2.0	1.0	1.0	1.0	0.0	0.5384615384615384	1.8136375097182178	0.8470011524151965	0.04690133077162306	1	Drug-Like
O=C(O)Cc1ccc(OCc2ccccc2)cc1	IO2	2-(4-phenylmethoxyphenyl)ethanoic acid	True	True	18.0	2.8927000000000005	68.55580000000003	242.09	2.0	1.0	46.53	105.6526247504975	5.0	2.0	0.0	0.0	2.0	0.0	0.13333333333333333	1.3995737100155825	0.8764753893774737	0.046987385874447785	1	Drug-Like
Cl/C(=C\n1cncn1)c1ccc(Cl)cc1Cl	A1IIV	1-[(~{z})-2-chloranyl-2-(2,4-dichlorophenyl)ethenyl]-1,2,4-triazole	True	True	16.0	3.779300000000002	66.504	272.96	3.0	0.0	30.71	107.26545864072234	2.0	2.0	0.0	0.0	2.0	0.0	0.0	2.945588475348332	0.8341906734476934	0.04699742319857131	1	Drug-Like
COc1ccc(Nc2cc3[nH]c(-c4cn[nH]c4)cc3cn2)cc1OC	4T9	n-(3,4-dimethoxyphenyl)-2-(1h-pyrazol-4-yl)-1h-pyrrolo[3,2-c]pyridin-6-amine	True	True	25.0	3.713800000000001	96.50410000000001	335.14	5.0	3.0	87.85000000000001	143.56016330710156	5.0	4.0	0.0	0.0	4.0	0.0	0.1111111111111111	2.5481915944485074	0.5172902072963945	0.04707712143954168	1	Drug-Like
NC(=O)Nc1cc(-c2cccc(F)c2)sc1C(=O)N[C@H]1CCCNC1	YDJ	5-(3-fluorophenyl)-n-[(3s)-3-piperidyl]-3-ureido-thiophene-2-carboxamide	True	True	25.0	2.5265999999999997	96.27700000000003	362.12	4.0	4.0	124.49	148.15568109407016	4.0	3.0	1.0	1.0	2.0	0.0	0.29411764705882354	2.921045748049414	0.6728586895980049	0.046676179609224266	1	Drug-Like
CCC(C=O)(CC)C(=O)Nc1cccc(CN2CCc3cc4c(cc3C2)OCO4)c1	QXQ	~{n}-[3-(7,8-dihydro-5~{h}-[1,3]dioxolo[4,5-g]isoquinolin-6-ylmethyl)phenyl]-2-ethyl-2-methanoyl-butanamide	True	True	30.0	3.9174000000000024	114.53370000000005	408.2	5.0	1.0	67.87	176.71597090417464	7.0	4.0	0.0	2.0	2.0	0.0	0.4166666666666667	2.8183647304126094	0.5556196655608501	0.047045434058917424	1	Drug-Like
CC(C)c1nnc2ccc(-c3ocnc3-c3ccc(F)cc3)cn12	TZY	6-[4-(4-fluorophenyl)-1,3-oxazol-5-yl]-3-isopropyl[1,2,4]triazolo[4,3-a]pyridine	True	True	24.0	4.313800000000002	87.96700000000003	322.12	5.0	0.0	56.22	137.34584044827454	3.0	4.0	0.0	0.0	4.0	0.0	0.16666666666666666	2.6131792922843324	0.5636731870521426	0.04702858352560513	1	Drug-Like
CC(=O)Nc1ccc2c(c1)OCCc1cc(C(=O)N(C)c3ccccc3Cl)sc1-2	FAZ	8-(acetylamino)-n-(2-chlorophenyl)-n-methyl-4,5-dihydrothieno[3,2-d][1]benzoxepine-2-carboxamide	True	True	29.0	5.238400000000004	117.44320000000002	426.08	4.0	1.0	86.87999999999998	177.41932784517445	3.0	4.0	0.0	1.0	3.0	0.0	0.18181818181818182	2.4996028202079046	0.62272706012013	0.047028760437688	1	Drug-Like
COc1cc(O)c(/C=C\C(=O)O)cc1[C@@H](O)CC(C)C	TE1	(2z)-3-{2-hydroxy-5-[(1s)-1-hydroxy-3-methylbutyl]-4-methoxyphenyl}prop-2-enoic acid	True	True	20.0	2.5781000000000005	75.74340000000004	280.13	4.0	3.0	86.99000000000001	117.6840477030209	6.0	1.0	0.0	0.0	1.0	0.0	0.4	2.9575497806794466	0.6970887242158931	0.04703344188164921	1	Drug-Like
